服务类型,配置规格,阿里云(元/月),腾讯云(元/月),华为云(元/月),推荐选择,备注
轻量服务器,1核2GB 1M,50-60,45-55,48-58,腾讯云,适合20-50人
云服务器ECS,2核4GB 3M,100-120,95-115,98-118,腾讯云,适合50-100人
云服务器ECS,4核8GB 5M,200-250,190-240,195-245,腾讯云,适合100-200人
云服务器ECS,8核16GB 10M,500-600,480-580,490-590,腾讯云,适合500-1000人
数据库RDS,4核8GB 100GB,400-500,380-480,390-490,腾讯云,PostgreSQL
数据库RDS,8核16GB 200GB,800-1000,760-960,780-980,腾讯云,高可用版
Redis缓存,2GB主从版,150,140-160,145-165,腾讯云,高可用
Redis缓存,4GB集群版,300,280-320,290-310,腾讯云,分片集群
对象存储OSS,存储费用(元/GB/月),0.12,0.118,0.12,腾讯云,标准存储
对象存储OSS,流量费用(元/GB),0.5,0.5,0.5,相同,外网流出
CDN加速,流量费用(元/GB),0.24-0.36,0.23-0.35,0.24-0.36,腾讯云,国内加速
负载均衡SLB,标准版,100,90-110,95-115,腾讯云,按规格计费
域名注册,.com域名(元/年),55-69,55-65,55-69,腾讯云,首年优惠