用户规模,组件类型,配置规格,月度成本(元),年度成本(元),备注
20-50人,云服务器ECS,1核2GB 1M带宽,50-70,600-840,轻量应用服务器
20-50人,域名,.com域名,8,96,阿里云/腾讯云
20-50人,备份,手动备份,0,0,本地备份
20-50人,小计,-,58-78,696-936,-
,,,,,,
50-100人,云服务器ECS,2核4GB 3M带宽,100-150,1200-1800,标准型实例
50-100人,域名,.com域名,8,96,-
50-100人,对象存储OSS,10GB存储,1.2,14.4,¥0.12/GB/月
50-100人,备份,快照备份10GB,10,120,自动快照
50-100人,小计,-,119-169,1430-2030,-
,,,,,,
100-200人,云服务器ECS,4核8GB 5M带宽,200-300,2400-3600,计算型实例
100-200人,对象存储OSS,20GB存储+流量,30-50,360-600,含500GB流量
100-200人,CDN加速,500GB流量,120-180,1440-2160,¥0.24/GB
100-200人,数据库备份,20GB,20,240,RDS备份
100-200人,域名+SSL,域名+证书,10,120,-
100-200人,小计,-,380-560,4560-6720,-
,,,,,,
200-500人,应用服务器,4核8GB 5M带宽,250,3000,独立应用服务器
200-500人,数据库RDS,4核8GB 100GB,400-500,4800-6000,PostgreSQL高可用版
200-500人,Redis缓存,2GB主从版,150,1800,高可用Redis
200-500人,对象存储OSS,50GB+1.5TB流量,400-500,4800-6000,图片+更新包
200-500人,CDN加速,1.5TB流量,360-540,4320-6480,全国加速
200-500人,备份存储,30GB,30,360,多版本备份
200-500人,域名+SSL,2个域名,15,180,-
200-500人,小计,-,1605-2335,19260-28020,-
,,,,,,
500-1000人,应用服务器,8核16GB 10M带宽,600,7200,或2×4核负载均衡
500-1000人,数据库RDS,8核16GB 200GB,800-1000,9600-12000,读写分离
500-1000人,Redis集群,4GB集群版,300,3600,分片集群
500-1000人,MeiliSearch,2核4GB,200,2400,独立搜索服务
500-1000人,对象存储OSS,100GB+3TB流量,800-1000,9600-12000,海量文件
500-1000人,CDN加速,3TB流量,720-1080,8640-12960,多节点
500-1000人,负载均衡SLB,标准版,100,1200,高可用
500-1000人,备份存储,60GB,60,720,增量备份
500-1000人,域名+SSL,多域名,20,240,-
500-1000人,小计,-,3600-4360,43200-52320,-
,,,,,,
1000-2000人,应用服务器集群,3×8核16GB,1800,21600,水平扩展
1000-2000人,数据库RDS,16核32GB 500GB,1600-2000,19200-24000,主从+只读实例
1000-2000人,Redis集群,8GB集群版,600,7200,高性能集群
1000-2000人,MeiliSearch,4核8GB,400,4800,大规模搜索
1000-2000人,对象存储OSS,200GB+6TB流量,1600-2000,19200-24000,CDN回源
1000-2000人,CDN加速,6TB流量,1440-2160,17280-25920,全球加速
1000-2000人,负载均衡SLB,高级版,200,2400,多可用区
1000-2000人,备份存储,120GB,120,1440,异地备份
1000-2000人,监控告警,云监控高级版,100,1200,全栈监控
1000-2000人,域名+SSL,多域名+通配符,30,360,-
1000-2000人,小计,-,7890-10510,94680-126120,-