决策点,触发条件,当前方案,升级方案,升级成本增加(元/月),不升级风险,建议行动,决策优先级
数据库分离,日活>60人 或 数据库>30GB,基础版单机,标准版独立数据库,+700-800,性能下降、数据丢失风险,立即升级,高
启用Redis缓存,API响应>300ms 或 数据库压力>70%,无缓存,独立Redis 2GB,+150,用户体验差、数据库过载,立即启用,高
启用CDN,带宽费用>200元/月,直连服务器,CDN加速,+100-200(但节省带宽),访问慢、带宽成本高,立即启用,高
图片迁移OSS,数据库>20GB 或 图片>5GB,Base64存数据库,对象存储OSS,+50(但节省数据库),数据库膨胀、备份慢,尽快实施,高
负载均衡,单服务器CPU>80% 或 日活>120人,单机部署,双机+SLB,+200-300,单点故障、性能瓶颈,提前规划,中
读写分离,数据库查询>100ms 或 日活>120人,单库,主从复制,+400-500,查询慢、数据库压力大,提前规划,中
MeiliSearch,搜索功能使用频繁 或 日活>100人,数据库LIKE查询,独立搜索引擎,+200,搜索慢、数据库压力,按需启用,中
数据库扩容,存储使用>80%,当前规格,更大规格,+200-400,存储耗尽、服务中断,提前扩容,高
备份策略升级,数据重要性提升 或 日活>100人,每天1次,每天2次+异地,+20-30,数据丢失风险,尽快实施,中
监控告警系统,出现过故障 或 日活>80人,基础监控,全栈监控,+50-100,故障发现慢、影响扩大,尽快部署,中
高可用架构,业务关键 或 日活>120人,单机/双机,多可用区集群,+500-800,服务中断风险,提前规划,低
自动扩缩容,流量波动大 或 日活>150人,固定配置,弹性伸缩,+100-200,资源浪费或不足,按需配置,低